id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue
44517034,atmtools/typhon,https://api.github.com/repos/atmtools/typhon,43,32,False,2108,11,46
185585970,itsasimiqbal/SeBRe,https://api.github.com/repos/itsasimiqbal/SeBRe,43,11,False,87,0,4
196055892,ADGEfficiency/teaching-monolith,https://api.github.com/repos/ADGEfficiency/teaching-monolith,130,29,False,104,0,1
193126777,nitinkaushik01/Deep_and_Machine_Learning_Projects,https://api.github.com/repos/nitinkaushik01/Deep_and_Machine_Learning_Projects,262,292,False,23,5,0
165227584,Masmiseim36/nxpSDK,https://api.github.com/repos/Masmiseim36/nxpSDK,18,15,False,151,0,0
86588543,5agado/data-science-learning,https://api.github.com/repos/5agado/data-science-learning,350,89,False,151,0,4
21620870,dsilvestro/PyRate,https://api.github.com/repos/dsilvestro/PyRate,44,23,False,984,3,7
144449333,heblade/pythontraining,https://api.github.com/repos/heblade/pythontraining,28,31,False,121,1,0
143977106,graphcore/examples,https://api.github.com/repos/graphcore/examples,236,52,False,79,0,0
128720006,yoavram/DataSciPy,https://api.github.com/repos/yoavram/DataSciPy,15,12,False,322,1,1
211972484,tensorflow/fairness-indicators,https://api.github.com/repos/tensorflow/fairness-indicators,240,66,False,311,5,9
51863547,ageron/handson-ml,https://api.github.com/repos/ageron/handson-ml,23969,12649,False,509,118,433
141404914,knime/knime-deeplearning,https://api.github.com/repos/knime/knime-deeplearning,18,11,False,1483,0,0
248250967,exo7math/deepmath-exo7,https://api.github.com/repos/exo7math/deepmath-exo7,16,13,False,44,0,0
315747164,wandb/edu,https://api.github.com/repos/wandb/edu,63,14,False,333,14,47
74752445,CSCfi/machine-learning-scripts,https://api.github.com/repos/CSCfi/machine-learning-scripts,57,49,False,717,1,0
81887991,microsoft/AirSim,https://api.github.com/repos/microsoft/AirSim,12670,3587,False,3560,574,2705
89023218,ActiveState/neuroblast,https://api.github.com/repos/ActiveState/neuroblast,105,15,False,130,14,0
186845829,MerkulovDaniil/optim,https://api.github.com/repos/MerkulovDaniil/optim,49,57,False,875,2,0
114703482,MITESHPUTHRANNEU/Speech-Emotion-Analyzer,https://api.github.com/repos/MITESHPUTHRANNEU/Speech-Emotion-Analyzer,808,317,False,0,0,0
157606202,tensorflow/tensorrt,https://api.github.com/repos/tensorflow/tensorrt,623,199,False,376,102,90
202993277,david8862/keras-YOLOv3-model-set,https://api.github.com/repos/david8862/keras-YOLOv3-model-set,562,193,False,548,125,111
177059781,OneStepAndTwoSteps/Data_Analysis_notes,https://api.github.com/repos/OneStepAndTwoSteps/Data_Analysis_notes,21,10,False,1487,0,0
209036440,maikherbig/AIDeveloper,https://api.github.com/repos/maikherbig/AIDeveloper,46,13,False,610,8,46
129793058,MrGiovanni/UNetPlusPlus,https://api.github.com/repos/MrGiovanni/UNetPlusPlus,1611,431,False,172,49,28
9363151,ozt-ca/tjo.hatenablog.samples,https://api.github.com/repos/ozt-ca/tjo.hatenablog.samples,62,109,False,274,0,0
120103318,batermj/data_sciences_campaign,https://api.github.com/repos/batermj/data_sciences_campaign,85,34,False,2764,0,1
201453005,tsterbak/pydataberlin-2019,https://api.github.com/repos/tsterbak/pydataberlin-2019,32,22,False,36,1,0
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,945,231,False,2885,0,444
186178954,bjascob/LemmInflect,https://api.github.com/repos/bjascob/LemmInflect,147,19,False,40,5,9
365999954,PaddlePaddle/PaddleSleeve,https://api.github.com/repos/PaddlePaddle/PaddleSleeve,38,11,False,418,1,3
110072728,DeepBCI/Deep-BCI,https://api.github.com/repos/DeepBCI/Deep-BCI,222,150,False,732,0,4
130259604,daines-analytics/tabular-data-projects,https://api.github.com/repos/daines-analytics/tabular-data-projects,10,24,False,597,0,0
111965221,amir-jafari/Machine-Learning,https://api.github.com/repos/amir-jafari/Machine-Learning,14,22,False,99,0,0
73389539,ywchiu/largitdata,https://api.github.com/repos/ywchiu/largitdata,226,242,False,128,1,0
152056923,tkn-tub/ns3-gym,https://api.github.com/repos/tkn-tub/ns3-gym,302,144,False,13849,35,33
164554832,ageron/handson-ml2,https://api.github.com/repos/ageron/handson-ml2,19280,9460,False,915,187,295
57920937,KordingLab/spykes,https://api.github.com/repos/KordingLab/spykes,88,33,False,299,10,47
188627468,ARBML/ARBML,https://api.github.com/repos/ARBML/ARBML,211,29,False,154,9,13
161454640,howie6879/pylab,https://api.github.com/repos/howie6879/pylab,39,14,False,18,11,12
229192266,codyseibert/youtube,https://api.github.com/repos/codyseibert/youtube,137,263,False,150,4,0
340237564,sherlcok314159/ML,https://api.github.com/repos/sherlcok314159/ML,100,34,False,628,0,1
39610055,ethen8181/machine-learning,https://api.github.com/repos/ethen8181/machine-learning,1939,484,False,481,0,4
112754789,sassoftware/python-dlpy,https://api.github.com/repos/sassoftware/python-dlpy,198,115,False,1196,19,176
282013769,phuselab/pyVHR,https://api.github.com/repos/phuselab/pyVHR,143,50,False,182,4,54
263748045,NVIDIA/tensorflow,https://api.github.com/repos/NVIDIA/tensorflow,337,58,False,64194,26,40
172519084,IntuitionEngineeringTeam/chars2vec,https://api.github.com/repos/IntuitionEngineeringTeam/chars2vec,145,29,False,23,6,3
146794941,lucky630/ML-Challenges,https://api.github.com/repos/lucky630/ML-Challenges,24,24,False,148,0,0
193152058,f0uriest/keras2c,https://api.github.com/repos/f0uriest/keras2c,25,10,False,90,5,5
56539777,hanhanwu/Hanhan_Data_Science_Practice,https://api.github.com/repos/hanhanwu/Hanhan_Data_Science_Practice,26,14,False,1642,0,0
129366435,stellargraph/stellargraph,https://api.github.com/repos/stellargraph/stellargraph,2268,341,False,2535,283,739
126451392,sharmasaravanan/Machine_learning,https://api.github.com/repos/sharmasaravanan/Machine_learning,15,35,False,140,2,0
158587515,comet-ml/comet-examples,https://api.github.com/repos/comet-ml/comet-examples,91,44,False,341,2,8
248690852,DataCanvasIO/DeepTables,https://api.github.com/repos/DataCanvasIO/DeepTables,387,189,False,291,20,27
2287140,burakbayramli/classnotes,https://api.github.com/repos/burakbayramli/classnotes,54,31,False,1534,0,1
117815245,MarcYin/SIAC,https://api.github.com/repos/MarcYin/SIAC,31,14,False,297,1,12
211326753,splunk/splunk-mltk-container-docker,https://api.github.com/repos/splunk/splunk-mltk-container-docker,18,11,False,110,0,15
162340939,onnx/sklearn-onnx,https://api.github.com/repos/onnx/sklearn-onnx,302,67,False,541,55,286
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5898,651,False,15109,92,1276
149458170,acconeer/acconeer-python-exploration,https://api.github.com/repos/acconeer/acconeer-python-exploration,108,43,False,2307,0,115
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1428,239,False,2445,7,251
67353330,esokolov/ml-course-hse,https://api.github.com/repos/esokolov/ml-course-hse,1835,791,False,826,14,83
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,False,3474,152,249
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,False,3511,37,438
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,False,3607,381,767
22177757,maranemil/howto,https://api.github.com/repos/maranemil/howto,34,17,False,3786,0,0
154291734,bapoczos/ScalableML,https://api.github.com/repos/bapoczos/ScalableML,42,33,False,386,0,0
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,False,4214,19,488
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,False,1723,7,1353
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,False,9412,62,59
261861733,keras-team/keras-io,https://api.github.com/repos/keras-team/keras-io,1355,1210,False,1214,322,131
125932201,OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,6815,1905,False,371,272,436
136265021,albumentations-team/albumentations,https://api.github.com/repos/albumentations-team/albumentations,9613,1233,False,773,330,413
114906951,cornell-zhang/heterocl,https://api.github.com/repos/cornell-zhang/heterocl,204,64,False,1112,83,132
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,False,7952,8,1
112975045,TheCacophonyProject/classifier-pipeline,https://api.github.com/repos/TheCacophonyProject/classifier-pipeline,16,14,False,1429,16,11
241095326,adap/flower,https://api.github.com/repos/adap/flower,729,185,False,1060,146,171
130718031,ROCmSoftwarePlatform/AMDMIGraphX,https://api.github.com/repos/ROCmSoftwarePlatform/AMDMIGraphX,69,29,False,4545,101,457
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,352,219,False,1882,101,63
