id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue
441354843,alibaba/DeepRec,https://api.github.com/repos/alibaba/DeepRec,116,46,FALSE,65360,37,33
263748045,NVIDIA/tensorflow,https://api.github.com/repos/NVIDIA/tensorflow,337,58,FALSE,64194,26,40
291217084,microsoft/tensorflow-directml,https://api.github.com/repos/microsoft/tensorflow-directml,345,20,FALSE,63876,21,34
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,290,161,FALSE,31295,17,142
125344817,VLOGroup/tensorflow-icg,https://api.github.com/repos/VLOGroup/tensorflow-icg,17,10,FALSE,25960,0,3
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3833,964,FALSE,19489,531,1136
235856774,tensorflow/docs-l10n,https://api.github.com/repos/tensorflow/docs-l10n,429,508,FALSE,15888,0,0
249942759,GCGImdea/coronasurveys,https://api.github.com/repos/GCGImdea/coronasurveys,19,12,FALSE,15581,1,0
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5898,651,FALSE,15109,92,1276
41671401,ChrisCummins/phd,https://api.github.com/repos/ChrisCummins/phd,157,33,FALSE,14702,24,49
46374199,IntelRealSense/librealsense,https://api.github.com/repos/IntelRealSense/librealsense,5728,4085,FALSE,14382,293,8004
152056923,tkn-tub/ns3-gym,https://api.github.com/repos/tkn-tub/ns3-gym,302,144,FALSE,13849,35,33
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,FALSE,12569,53,224
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,FALSE,12204,411,10565
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3583,963,FALSE,11817,546,714
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3912,1156,FALSE,11334,603,931
203558879,fetchai/agents-aea,https://api.github.com/repos/fetchai/agents-aea,110,34,FALSE,11311,53,786
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2766,770,FALSE,11174,90,669
85989537,idaholab/raven,https://api.github.com/repos/idaholab/raven,149,85,FALSE,10957,196,836
331769873,amzn/amazon-ray,https://api.github.com/repos/amzn/amazon-ray,34,15,FALSE,10637,10,0
9626741,Nuitka/Nuitka,https://api.github.com/repos/Nuitka/Nuitka,6374,359,FALSE,10583,235,1508
129317474,tensorflow/docs,https://api.github.com/repos/tensorflow/docs,5070,4785,FALSE,10439,0,0
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,59,16,FALSE,10428,45,70
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,FALSE,10231,431,2432
401780066,girlscript/winter-of-contributing,https://api.github.com/repos/girlscript/winter-of-contributing,929,1658,FALSE,10156,1175,2923
58882601,polyaxon/traceml,https://api.github.com/repos/polyaxon/traceml,434,211,FALSE,9847,6,7
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,FALSE,9412,62,59
168622088,IDAES/idaes-pse,https://api.github.com/repos/IDAES/idaes-pse,87,127,FALSE,9140,60,315
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72662,45437,FALSE,8865,1051,6023
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,FALSE,8337,47,109
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,FALSE,8232,1315,2937
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12149,2105,FALSE,8228,147,599
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3409,1264,FALSE,8089,480,1060
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,FALSE,7952,8,1
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,FALSE,7804,279,11373
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,FALSE,7505,0,357
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,228,94,FALSE,7488,343,1567
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5793,4622,FALSE,7436,106,69
93438176,ZoranPandovski/al-go-rithms,https://api.github.com/repos/ZoranPandovski/al-go-rithms,1144,1833,FALSE,7423,26,196
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2900,630,FALSE,7235,53,2054
35236880,AllenInstitute/AllenSDK,https://api.github.com/repos/AllenInstitute/AllenSDK,248,124,FALSE,6760,345,1269
6604719,InsightSoftwareConsortium/ITKTubeTK,https://api.github.com/repos/InsightSoftwareConsortium/ITKTubeTK,24,52,FALSE,6608,3,4
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,95,174,FALSE,6290,99,103
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,37,12,FALSE,5842,7,7
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,FALSE,5830,542,3200
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1472,FALSE,5371,567,1172
