id,full_name,url,stars,forks,commits,open_issue,closed_issue
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,58417,13807,12205,411,10565
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15702,9910,2143,197,86
66424871,pytorch/examples,https://api.github.com/repos/pytorch/examples,17830,8367,701,142,433
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20173,8154,18829,446,3417
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22409,7979,2600,233,7415
101138315,d2l-ai/d2l-zh,https://api.github.com/repos/d2l-ai/d2l-zh,30292,7179,4081,0,0
84533158,yunjey/pytorch-tutorial,https://api.github.com/repos/yunjey/pytorch-tutorial,23051,7069,173,64,112
145670234,open-mmlab/mmdetection,https://api.github.com/repos/open-mmlab/mmdetection,18356,6693,2198,508,6214
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,25012,6671,1723,7,1353
188660663,CorentinJ/Real-Time-Voice-Cloning,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning,33590,6157,295,89,876
73328905,pytorch/vision,https://api.github.com/repos/pytorch/vision,10905,5635,3403,696,2059
22489033,lazyprogrammer/machine_learning_examples,https://api.github.com/repos/lazyprogrammer/machine_learning_examples,6567,5545,368,8,38
206660580,facebookresearch/detectron2,https://api.github.com/repos/facebookresearch/detectron2,19936,5430,1433,272,2954
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21992,5219,3867,680,272
88612945,junyanz/pytorch-CycleGAN-and-pix2pix,https://api.github.com/repos/junyanz/pytorch-CycleGAN-and-pix2pix,16873,5092,523,454,928
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6561,4940,2609,588,711
34275045,kaldi-asr/kaldi,https://api.github.com/repos/kaldi-asr/kaldi,11333,4889,9294,133,1438
171795571,ShusenTang/Dive-into-DL-PyTorch,https://api.github.com/repos/ShusenTang/Dive-into-DL-PyTorch,14535,4685,241,72,74
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5829,4671,7436,106,69
101782647,pytorch/fairseq,https://api.github.com/repos/pytorch/fairseq,16112,4188,0,0,0
21467110,explosion/spaCy,https://api.github.com/repos/explosion/spaCy,22479,3715,15838,70,5287
190427007,rasbt/deeplearning-models,https://api.github.com/repos/rasbt/deeplearning-models,14808,3675,194,4,24
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11228,3646,2185,1200,919
92265140,chenyuntc/pytorch-book,https://api.github.com/repos/chenyuntc/pytorch-book,9719,3444,74,124,94
102904613,Unity-Technologies/ml-agents,https://api.github.com/repos/Unity-Technologies/ml-agents,12452,3327,3459,113,2619
95879426,Tencent/ncnn,https://api.github.com/repos/Tencent/ncnn,13831,3322,2849,900,2023
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19257,3285,16207,2596,10393
130474497,eriklindernoren/PyTorch-GAN,https://api.github.com/repos/eriklindernoren/PyTorch-GAN,11356,3243,193,101,47
221723816,WZMIAOMIAO/deep-learning-for-image-processing,https://api.github.com/repos/WZMIAOMIAO/deep-learning-for-image-processing,6633,3238,1292,24,314
69709572,pytorch/tutorials,https://api.github.com/repos/pytorch/tutorials,5786,3204,1975,176,428
179893494,ddbourgin/numpy-ml,https://api.github.com/repos/ddbourgin/numpy-ml,11222,3131,348,16,26
164852596,graykode/nlp-tutorial,https://api.github.com/repos/graykode/nlp-tutorial,10169,3101,78,30,21
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8336,3086,2672,11,1770
89846872,jindongwang/transferlearning,https://api.github.com/repos/jindongwang/transferlearning,8766,3076,1074,3,286
90388827,MorvanZhou/PyTorch-Tutorial,https://api.github.com/repos/MorvanZhou/PyTorch-Tutorial,6581,2953,121,23,47
88868842,PaddlePaddle/models,https://api.github.com/repos/PaddlePaddle/models,6382,2860,5065,693,1284
