id,full_name,url,stars,forks,commits,open_issue,closed_issue
10994345,root-project/root,https://api.github.com/repos/root-project/root,1682,1002,77360,546,929
303564454,snuspl/nimble,https://api.github.com/repos/snuspl/nimble,194,25,30349,16,5
5241312,halide/Halide,https://api.github.com/repos/halide/Halide,4824,954,22749,797,1441
97641933,OpenMined/PySyft,https://api.github.com/repos/OpenMined/PySyft,7937,1778,19676,116,3248
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3842,967,19489,531,1136
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20173,8154,18829,446,3417
24376854,libxsmm/libxsmm,https://api.github.com/repos/libxsmm/libxsmm,604,152,17968,7,278
114054873,espnet/espnet,https://api.github.com/repos/espnet/espnet,4714,1476,17080,369,1665
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19257,3285,16207,2596,10393
21467110,explosion/spaCy,https://api.github.com/repos/explosion/spaCy,22479,3715,15838,70,5287
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5988,661,15109,92,1276
110274488,facebook/pyre-check,https://api.github.com/repos/facebook/pyre-check,5777,382,13690,109,232
203249539,lgsvl/apollo-5.0,https://api.github.com/repos/lgsvl/apollo-5.0,71,82,13395,0,0
51905353,apache/arrow,https://api.github.com/repos/apache/arrow,9162,2224,13263,3157,16826
179777897,lgsvl/apollo-3.5,https://api.github.com/repos/lgsvl/apollo-3.5,25,29,12952,0,0
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,682,112,12569,53,224
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,58417,13807,12205,411,10565
61316303,PrincetonUniversity/PsyNeuLink,https://api.github.com/repos/PrincetonUniversity/PsyNeuLink,65,18,11547,44,57
23229909,Kitware/kwiver,https://api.github.com/repos/Kitware/kwiver,167,76,11459,90,54
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3931,1167,11334,603,931
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2797,778,11174,90,669
70123664,WildMeOrg/wildbook-ia,https://api.github.com/repos/WildMeOrg/wildbook-ia,25,10,11003,2,14
330914717,unifyai/ivy,https://api.github.com/repos/unifyai/ivy,532,260,10780,1121,4854
331769873,amzn/amazon-ray,https://api.github.com/repos/amzn/amazon-ray,35,16,10637,10,0
172822195,Hongbo-Miao/hongbomiao.com,https://api.github.com/repos/Hongbo-Miao/hongbomiao.com,100,18,10536,51,253
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,61,19,10428,45,70
74660642,taichi-dev/taichi,https://api.github.com/repos/taichi-dev/taichi,18283,1882,10233,669,1645
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7742,2397,10232,431,2432
401780066,girlscript/winter-of-contributing,https://api.github.com/repos/girlscript/winter-of-contributing,927,1650,10156,1175,2923
153097643,openvinotoolkit/openvino,https://api.github.com/repos/openvinotoolkit/openvino,3023,1294,9974,48,1713
61130280,rwth-i6/returnn,https://api.github.com/repos/rwth-i6/returnn,313,127,9949,102,364
143328315,mindsdb/mindsdb,https://api.github.com/repos/mindsdb/mindsdb,5826,639,9660,346,1708
108200238,geomstats/geomstats,https://api.github.com/repos/geomstats/geomstats,698,146,9552,185,309
34275045,kaldi-asr/kaldi,https://api.github.com/repos/kaldi-asr/kaldi,11333,4889,9294,133,1438
81634683,Oneflow-Inc/oneflow,https://api.github.com/repos/Oneflow-Inc/oneflow,3023,367,9222,244,545
9220688,pymor/pymor,https://api.github.com/repos/pymor/pymor,163,69,9076,87,530
98444695,cylondata/twister2,https://api.github.com/repos/cylondata/twister2,54,28,8780,60,171
153097694,openvinotoolkit/open_model_zoo,https://api.github.com/repos/openvinotoolkit/open_model_zoo,3035,1072,8558,44,355
45568899,LCAD-UFES/carmen_lcad,https://api.github.com/repos/LCAD-UFES/carmen_lcad,40,18,8490,3,1
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6275,1451,8234,1315,2937
58576874,LLNL/lbann,https://api.github.com/repos/LLNL/lbann,180,64,8095,152,297
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3439,1275,8089,480,1060
259710503,speechbrain/speechbrain,https://api.github.com/repos/speechbrain/speechbrain,3745,695,7769,101,739
102302633,schrum2/MM-NEAT,https://api.github.com/repos/schrum2/MM-NEAT,39,17,7689,45,689
262717238,cywang97/StreamingTransformer,https://api.github.com/repos/cywang97/StreamingTransformer,234,38,7660,10,9
4733263,FCP-INDI/C-PAC,https://api.github.com/repos/FCP-INDI/C-PAC,30,27,7622,335,792
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5829,4671,7436,106,69
111204713,mrakgr/The-Spiral-Language,https://api.github.com/repos/mrakgr/The-Spiral-Language,837,22,7278,0,11
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2948,637,7235,53,2054
