id,full_name,url,stars,forks,commits,open_issue,closed_issue,collaborators
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11321,2506,3780,885,1872,457
73328905,pytorch/vision,https://api.github.com/repos/pytorch/vision,10905,5635,3403,696,2059,454
250213286,huggingface/datasets,https://api.github.com/repos/huggingface/datasets,12527,1513,3348,447,1605,452
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,58417,13807,12205,411,10565,437
69709572,pytorch/tutorials,https://api.github.com/repos/pytorch/tutorials,5786,3204,1975,176,428,430
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,682,112,12569,53,224,428
330914717,unifyai/ivy,https://api.github.com/repos/unifyai/ivy,532,260,10780,1121,4854,423
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19257,3285,16207,2596,10393,422
331769873,amzn/amazon-ray,https://api.github.com/repos/amzn/amazon-ray,35,16,10637,10,0,420
288304575,fastai/fastai1,https://api.github.com/repos/fastai/fastai1,52,81,5473,15,7,420
401780066,girlscript/winter-of-contributing,https://api.github.com/repos/girlscript/winter-of-contributing,927,1650,10156,1175,2923,416
21467110,explosion/spaCy,https://api.github.com/repos/explosion/spaCy,22479,3715,15838,70,5287,402
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6561,4940,2609,588,711,396
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,621,36,4324,0,18,394
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7742,2397,10232,431,2432,391
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21992,5219,3867,680,272,391
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,38,13,5842,7,7,389
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,61,19,10428,45,70,388
153097643,openvinotoolkit/openvino,https://api.github.com/repos/openvinotoolkit/openvino,3023,1294,9974,48,1713,377
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6275,1451,8234,1315,2937,375
145670234,open-mmlab/mmdetection,https://api.github.com/repos/open-mmlab/mmdetection,18356,6693,2198,508,6214,374
34275045,kaldi-asr/kaldi,https://api.github.com/repos/kaldi-asr/kaldi,11333,4889,9294,133,1438,357
106024057,pyg-team/pytorch_geometric,https://api.github.com/repos/pyg-team/pytorch_geometric,13834,2435,6433,647,2283,355
51905353,apache/arrow,https://api.github.com/repos/apache/arrow,9162,2224,13263,3157,16826,354
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2706,1165,4814,639,2560,334
263555721,shinya7y/UniverseNet,https://api.github.com/repos/shinya7y/UniverseNet,288,35,2308,4,33,326
10994345,root-project/root,https://api.github.com/repos/root-project/root,1682,1002,77360,546,929,323
110621895,aws/sagemaker-python-sdk,https://api.github.com/repos/aws/sagemaker-python-sdk,1575,743,2905,416,771,323
97641933,OpenMined/PySyft,https://api.github.com/repos/OpenMined/PySyft,7937,1778,19676,116,3248,314
303564454,snuspl/nimble,https://api.github.com/repos/snuspl/nimble,194,25,30349,16,5,312
143328315,mindsdb/mindsdb,https://api.github.com/repos/mindsdb/mindsdb,5826,639,9660,346,1708,302
160007582,freewym/espresso,https://api.github.com/repos/freewym/espresso,882,118,2436,6,48,296
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22409,7979,2600,233,7415,294
88868842,PaddlePaddle/models,https://api.github.com/repos/PaddlePaddle/models,6382,2860,5065,693,1284,272
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20173,8154,18829,446,3417,268
222080355,ucb-bar/onnxruntime-riscv,https://api.github.com/repos/ucb-bar/onnxruntime-riscv,28,11,5229,20,29,265
91356408,allenai/allennlp,https://api.github.com/repos/allenai/allennlp,10814,2161,2719,80,2477,253
101138315,d2l-ai/d2l-zh,https://api.github.com/repos/d2l-ai/d2l-zh,30292,7179,4081,0,0,246
130375797,dmlc/dgl,https://api.github.com/repos/dmlc/dgl,8961,2040,2902,280,1798,245
145670155,open-mmlab/mmcv,https://api.github.com/repos/open-mmlab/mmcv,3503,977,1310,158,789,243
95879426,Tencent/ncnn,https://api.github.com/repos/Tencent/ncnn,13831,3322,2849,900,2023,240
105281531,pytorch/glow,https://api.github.com/repos/pytorch/glow,2700,604,6602,287,529,236
399571110,ofirpress/attention_with_linear_biases,https://api.github.com/repos/ofirpress/attention_with_linear_biases,150,14,1876,1,8,228
203249539,lgsvl/apollo-5.0,https://api.github.com/repos/lgsvl/apollo-5.0,71,82,13395,0,0,223
378358786,VDIGPKU/CBNetV2,https://api.github.com/repos/VDIGPKU/CBNetV2,261,43,1692,41,18,221
254142161,Seagate/cortx,https://api.github.com/repos/Seagate/cortx,541,310,6921,24,312,219
413281133,FirmanKurniawan/Python-Projects,https://api.github.com/repos/FirmanKurniawan/Python-Projects,10,102,849,1,3,217
179777897,lgsvl/apollo-3.5,https://api.github.com/repos/lgsvl/apollo-3.5,25,29,12952,0,0,211
66424871,pytorch/examples,https://api.github.com/repos/pytorch/examples,17830,8367,701,142,433,211
145693916,kornia/kornia,https://api.github.com/repos/kornia/kornia,5932,597,2361,204,513,205
74660642,taichi-dev/taichi,https://api.github.com/repos/taichi-dev/taichi,18283,1882,10233,669,1645,203
114054873,espnet/espnet,https://api.github.com/repos/espnet/espnet,4714,1476,17080,369,1665,201
200722670,NVIDIA/NeMo,https://api.github.com/repos/NVIDIA/NeMo,3894,889,5225,54,1434,195
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5988,661,15109,92,1276,192
136914524,flairNLP/flair,https://api.github.com/repos/flairNLP/flair,11267,1822,5115,57,2013,188
89266735,facebookresearch/ParlAI,https://api.github.com/repos/facebookresearch/ParlAI,8637,1776,4301,66,1442,185
206660580,facebookresearch/detectron2,https://api.github.com/repos/facebookresearch/detectron2,19936,5430,1433,272,2954,184
343663036,pppppM/mmdetection-distiller,https://api.github.com/repos/pppppM/mmdetection-distiller,41,13,1461,7,0,183
291039942,hyz-xmaster/VarifocalNet,https://api.github.com/repos/hyz-xmaster/VarifocalNet,268,42,1483,25,8,182
323528623,hyz-xmaster/swa_object_detection,https://api.github.com/repos/hyz-xmaster/swa_object_detection,205,20,1482,11,7,182
111835796,pytorch/ignite,https://api.github.com/repos/pytorch/ignite,3876,527,1548,112,1061,178
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5829,4671,7436,106,69,175
62117818,apache/carbondata,https://api.github.com/repos/apache/carbondata,1301,690,4962,15,5,175
