id,full_name,url,stars,forks,commit,openIssue,closedIssue
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72726,45453,7766,1130,5649
5108051,opencv/opencv,https://api.github.com/repos/opencv/opencv,59639,50144,31593,1953,6712
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57954,13682,8986,340,8342
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53928,18988,6477,224,10860
45986162,aymericdamien/TensorFlow-Examples,https://api.github.com/repos/aymericdamien/TensorFlow-Examples,41638,15173,250,158,68
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40299,11494,1411,22,710
83119431,apachecn/AiLearning,https://api.github.com/repos/apachecn/AiLearning,32672,10736,207,2,100
74627617,commaai/openpilot,https://api.github.com/repos/commaai/openpilot,32391,6007,5910,98,1340
91573538,testerSunshine/12306,https://api.github.com/repos/testerSunshine/12306,30563,9490,435,209,464
154747577,google-research/bert,https://api.github.com/repos/google-research/bert,30362,8522,111,751,340
9754983,eugenp/tutorials,https://api.github.com/repos/eugenp/tutorials,29267,46876,23877,26,533
1614410,FFmpeg/FFmpeg,https://api.github.com/repos/FFmpeg/FFmpeg,28161,9232,105644,0,0
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24943,6651,1611,3,1312
2881789,geekcomputers/Python,https://api.github.com/repos/geekcomputers/Python,24678,10689,2612,148,94
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22020,7782,1791,211,4541
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21850,5156,2902,480,219
107595270,matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,21223,10499,203,1712,797
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20104,8110,18066,1044,2458
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19140,3255,11310,1960,7162
60273704,mozilla/DeepSpeech,https://api.github.com/repos/mozilla/DeepSpeech,19004,3410,3466,106,1946
211124697,deezer/spleeter,https://api.github.com/repos/deezer/spleeter,18762,2042,477,117,524
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17653,1590,4577,527,1722
66483240,dennybritz/reinforcement-learning,https://api.github.com/repos/dennybritz/reinforcement-learning,17596,5643,259,88,61
58157629,magenta/magenta,https://api.github.com/repos/magenta/magenta,17402,3579,1397,295,570
46918116,microsoft/CNTK,https://api.github.com/repos/microsoft/CNTK,17127,4388,16116,753,2527
