id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
10969551,cms-sw/cmssw,https://api.github.com/repos/cms-sw/cmssw,849,3662,229660,554,2799,147
441354843,alibaba/DeepRec,https://api.github.com/repos/alibaba/DeepRec,122,48,64659,3,3,379
263748045,NVIDIA/tensorflow,https://api.github.com/repos/NVIDIA/tensorflow,340,58,64032,12,30,380
291217084,microsoft/tensorflow-directml,https://api.github.com/repos/microsoft/tensorflow-directml,345,20,63857,14,25,381
59771425,zephyrproject-rtos/zephyr,https://api.github.com/repos/zephyrproject-rtos/zephyr,5568,3498,60382,1202,12703,396
640534,sympy/sympy,https://api.github.com/repos/sympy/sympy,8849,3597,50221,3811,7799,451
239714835,mindspore-ai/mindspore,https://api.github.com/repos/mindspore-ai/mindspore,2695,514,39004,82,65,85
5108051,opencv/opencv,https://api.github.com/repos/opencv/opencv,59639,50144,31593,1953,6712,303
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,292,163,30199,7,111,61
70908208,RasaHQ/rasa,https://api.github.com/repos/RasaHQ/rasa,13538,3886,29857,894,5567,319
48064767,cryoem/eman2,https://api.github.com/repos/cryoem/eman2,101,46,26527,2,52,19
125344817,VLOGroup/tensorflow-icg,https://api.github.com/repos/VLOGroup/tensorflow-icg,17,10,25960,0,3,368
9754983,eugenp/tutorials,https://api.github.com/repos/eugenp/tutorials,29267,46876,23877,26,533,315
5241312,halide/Halide,https://api.github.com/repos/halide/Halide,4807,953,22376,679,1324,161
23653453,pachyderm/pachyderm,https://api.github.com/repos/pachyderm/pachyderm,5346,515,20526,707,2355,144
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20104,8110,18066,1044,2458,267
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3837,967,16688,309,809,119
24376854,libxsmm/libxsmm,https://api.github.com/repos/libxsmm/libxsmm,600,152,16562,15,230,42
46918116,microsoft/CNTK,https://api.github.com/repos/microsoft/CNTK,17127,4388,16116,753,2527,193
104670986,JohnSnowLabs/spark-nlp,https://api.github.com/repos/JohnSnowLabs/spark-nlp,2610,534,14014,71,541,86
152056923,tkn-tub/ns3-gym,https://api.github.com/repos/tkn-tub/ns3-gym,301,144,13846,22,28,150
12567717,projectchrono/chrono,https://api.github.com/repos/projectchrono/chrono,1301,301,13645,62,138,52
257913595,voxel51/fiftyone,https://api.github.com/repos/voxel51/fiftyone,989,126,12484,201,465,20
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5927,655,11591,101,955,154
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19140,3255,11310,1960,7162,431
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3589,964,11290,485,640,365
6228378,easybuilders/easybuild-easyblocks,https://api.github.com/repos/easybuilders/easybuild-easyblocks,75,228,10648,191,230,108
154739597,google/jax,https://api.github.com/repos/google/jax,16256,1488,10512,810,2094,341
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2777,776,9414,76,560,73
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,9271,51,44,46
1605598,bulletphysics/bullet3,https://api.github.com/repos/bulletphysics/bullet3,8917,2412,9130,11,1677,203
61130280,rwth-i6/returnn,https://api.github.com/repos/rwth-i6/returnn,313,128,9093,64,273,48
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57954,13682,8986,340,8342,421
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,663,109,8764,37,104,417
99704051,AnacondaRecipes/aggregate,https://api.github.com/repos/AnacondaRecipes/aggregate,22,40,8310,36,48,35
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,8203,45,79,98
153097694,openvinotoolkit/open_model_zoo,https://api.github.com/repos/openvinotoolkit/open_model_zoo,3018,1065,7903,30,293,122
168238552,pymedphys/pymedphys,https://api.github.com/repos/pymedphys/pymedphys,179,45,7829,58,525,23
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72726,45453,7766,1130,5649,375
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,7751,4,1,76
81634683,Oneflow-Inc/oneflow,https://api.github.com/repos/Oneflow-Inc/oneflow,2998,359,7699,192,271,104
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7680,2379,7564,221,1941,395
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,60,17,7487,14,5,394
172703996,spcl/dace,https://api.github.com/repos/spcl/dace,219,51,7438,48,141,36
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3417,1265,7411,393,994,124
45568899,LCAD-UFES/carmen_lcad,https://api.github.com/repos/LCAD-UFES/carmen_lcad,39,18,7370,3,1,37
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12186,2116,7343,123,532,78
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,7195,0,357,37
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2912,635,7057,111,1727,132
108200238,geomstats/geomstats,https://api.github.com/repos/geomstats/geomstats,689,143,7043,120,242,39
50461701,tensorflow/serving,https://api.github.com/repos/tensorflow/serving,5371,2079,6906,101,1237,181
153097643,openvinotoolkit/openvino,https://api.github.com/repos/openvinotoolkit/openvino,2987,1280,6699,120,1116,305
162051749,palladian/palladian,https://api.github.com/repos/palladian/palladian,28,10,6670,0,1,14
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5802,4636,6637,85,66,167
101866073,alibaba/AliOS-Things,https://api.github.com/repos/alibaba/AliOS-Things,4095,1566,6499,357,223,84
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53928,18988,6477,224,10860,426
105281531,pytorch/glow,https://api.github.com/repos/pytorch/glow,2684,600,6450,267,519,224
102302633,schrum2/MM-NEAT,https://api.github.com/repos/schrum2/MM-NEAT,38,16,6439,52,587,17
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6229,1431,6320,678,2197,325
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,94,174,6156,96,98,112
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,229,95,6066,272,1232,51
65310972,VIAME/VIAME,https://api.github.com/repos/VIAME/VIAME,156,65,6055,24,20,27
74627617,commaai/openpilot,https://api.github.com/repos/commaai/openpilot,32391,6007,5910,98,1340,262
24897645,stack-of-tasks/pinocchio,https://api.github.com/repos/stack-of-tasks/pinocchio,676,205,5890,30,648,36
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,37,13,5840,4,5,392
21950910,GoogleCloudPlatform/PerfKitBenchmarker,https://api.github.com/repos/GoogleCloudPlatform/PerfKitBenchmarker,1656,434,5678,211,370,113
254142161,Seagate/cortx,https://api.github.com/repos/Seagate/cortx,540,309,5562,12,276,207
186706933,Azure-Samples/azure-intelligent-edge-patterns,https://api.github.com/repos/Azure-Samples/azure-intelligent-edge-patterns,102,121,5364,29,18,47
23565243,numenta/htmresearch,https://api.github.com/repos/numenta/htmresearch,224,109,5346,29,86,27
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15968,1673,5127,508,2787,299
25311354,explosion/thinc,https://api.github.com/repos/explosion/thinc,2446,234,5020,14,97,42
84835419,analysiscenter/batchflow,https://api.github.com/repos/analysiscenter/batchflow,170,39,4992,34,67,17
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1469,4951,506,1089,249
62117818,apache/carbondata,https://api.github.com/repos/apache/carbondata,1299,690,4945,12,5,177
81784084,chainer/chainercv,https://api.github.com/repos/chainer/chainercv,1469,318,4930,37,168,36
45596393,odlgroup/odl,https://api.github.com/repos/odlgroup/odl,230,94,4928,222,688,20
57997461,marian-nmt/marian-dev,https://api.github.com/repos/marian-nmt/marian-dev,158,102,4871,83,544,38
56228491,marian-nmt/marian,https://api.github.com/repos/marian-nmt/marian,861,196,4855,57,285,37
230524692,realnc/dosbox-core,https://api.github.com/repos/realnc/dosbox-core,22,13,4788,14,19,8
105057392,guildai/guildai,https://api.github.com/repos/guildai/guildai,657,59,4689,113,184,15
105913478,voxel51/eta,https://api.github.com/repos/voxel51/eta,18,12,4659,35,65,17
148221325,tensorflow/datasets,https://api.github.com/repos/tensorflow/datasets,3151,1201,4651,314,615,224
180872240,numenta/nupic.research,https://api.github.com/repos/numenta/nupic.research,72,38,4642,2,5,20
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17653,1590,4577,527,1722,123
104741169,microsoft/pai,https://api.github.com/repos/microsoft/pai,2250,493,4487,246,1794,82
86031674,wandb/client,https://api.github.com/repos/wandb/client,3695,291,4401,233,1303,88
94460704,tensorflow/tensor2tensor,https://api.github.com/repos/tensorflow/tensor2tensor,11986,3030,4362,562,669,214
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,618,36,4322,1,15,394
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1695,542,4093,234,489,115
5502765,Sefaria/Sefaria-Data,https://api.github.com/repos/Sefaria/Sefaria-Data,64,55,4020,1,2,24
