id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
59771425,zephyrproject-rtos/zephyr,https://api.github.com/repos/zephyrproject-rtos/zephyr,5568,3498,60382,1202,12703,396
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57954,13682,8986,340,8342,421
640534,sympy/sympy,https://api.github.com/repos/sympy/sympy,8849,3597,50221,3811,7799,451
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19140,3255,11310,1960,7162,431
5108051,opencv/opencv,https://api.github.com/repos/opencv/opencv,59639,50144,31593,1953,6712,303
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72726,45453,7766,1130,5649,375
70908208,RasaHQ/rasa,https://api.github.com/repos/RasaHQ/rasa,13538,3886,29857,894,5567,319
14734876,eclipse/deeplearning4j,https://api.github.com/repos/eclipse/deeplearning4j,12345,4933,2479,760,4819,56
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22020,7782,1791,211,4541,206
10969551,cms-sw/cmssw,https://api.github.com/repos/cms-sw/cmssw,849,3662,229660,554,2799,147
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15968,1673,5127,508,2787,299
46918116,microsoft/CNTK,https://api.github.com/repos/microsoft/CNTK,17127,4388,16116,753,2527,193
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20104,8110,18066,1044,2458,267
23653453,pachyderm/pachyderm,https://api.github.com/repos/pachyderm/pachyderm,5346,515,20526,707,2355,144
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6229,1431,6320,678,2197,325
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2685,1154,3991,595,2146,295
75413130,isl-org/Open3D,https://api.github.com/repos/isl-org/Open3D,6118,1537,3729,327,2100,123
154739597,google/jax,https://api.github.com/repos/google/jax,16256,1488,10512,810,2094,341
60273704,mozilla/DeepSpeech,https://api.github.com/repos/mozilla/DeepSpeech,19004,3410,3466,106,1946,135
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7680,2379,7564,221,1941,395
104741169,microsoft/pai,https://api.github.com/repos/microsoft/pai,2250,493,4487,246,1794,82
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2912,635,7057,111,1727,132
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17653,1590,4577,527,1722,123
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8303,3071,2632,12,1700,40
1605598,bulletphysics/bullet3,https://api.github.com/repos/bulletphysics/bullet3,8917,2412,9130,11,1677,203
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12121,2008,1139,273,1674,135
139156354,openvinotoolkit/cvat,https://api.github.com/repos/openvinotoolkit/cvat,6830,1821,2438,324,1663,147
110724756,googlecolab/colabtools,https://api.github.com/repos/googlecolab/colabtools,1404,491,453,901,1653,8
108166281,leela-zero/leela-zero,https://api.github.com/repos/leela-zero/leela-zero,4828,970,842,357,1638,57
151636194,triton-inference-server/server,https://api.github.com/repos/triton-inference-server/server,3229,758,2445,111,1536,75
74627617,commaai/openpilot,https://api.github.com/repos/commaai/openpilot,32391,6007,5910,98,1340,262
222649526,d2l-ai/d2l-vi,https://api.github.com/repos/d2l-ai/d2l-vi,467,220,1767,0,1336,53
48593532,tensorpack/tensorpack,https://api.github.com/repos/tensorpack/tensorpack,6158,1828,2937,12,1332,53
5241312,halide/Halide,https://api.github.com/repos/halide/Halide,4807,953,22376,679,1324,161
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24943,6651,1611,3,1312,34
86031674,wandb/client,https://api.github.com/repos/wandb/client,3695,291,4401,233,1303,88
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10571,1121,1571,473,1284,73
126897385,DeepLabCut/DeepLabCut,https://api.github.com/repos/DeepLabCut/DeepLabCut,2734,1243,1075,13,1280,68
184657328,NVIDIA/TensorRT,https://api.github.com/repos/NVIDIA/TensorRT,4858,1205,253,284,1274,37
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10980,1561,2496,255,1244,146
50461701,tensorflow/serving,https://api.github.com/repos/tensorflow/serving,5371,2079,6906,101,1237,181
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,229,95,6066,272,1232,51
100249425,fizyr/keras-retinanet,https://api.github.com/repos/fizyr/keras-retinanet,4266,1963,1142,29,1228,74
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11254,2493,2497,848,1199,340
181436799,alibaba/MNN,https://api.github.com/repos/alibaba/MNN,6398,1320,1168,398,1160,64
153097643,openvinotoolkit/openvino,https://api.github.com/repos/openvinotoolkit/openvino,2987,1280,6699,120,1116,305
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1469,4951,506,1089,249
130375797,dmlc/dgl,https://api.github.com/repos/dmlc/dgl,8903,2023,2114,263,1069,187
145148726,Azure/MachineLearningNotebooks,https://api.github.com/repos/Azure/MachineLearningNotebooks,2850,2062,1169,209,1021,53
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3417,1265,7411,393,994,124
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5927,655,11591,101,955,154
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3699,477,2355,145,940,67
80643958,rstudio/keras,https://api.github.com/repos/rstudio/keras,730,264,2588,78,918,35
124620874,timi-liuliang/echo,https://api.github.com/repos/timi-liuliang/echo,658,78,2747,230,894,5
250213286,huggingface/datasets,https://api.github.com/repos/huggingface/datasets,12069,1476,2406,416,866,364
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2469,713,3423,418,840,96
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11168,3632,1974,982,824,35
160543708,mars-project/mars,https://api.github.com/repos/mars-project/mars,2348,296,1030,145,812,39
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3837,967,16688,309,809,119
136846372,rlworkgroup/garage,https://api.github.com/repos/rlworkgroup/garage,1395,247,1217,191,799,68
107595270,matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,21223,10499,203,1712,797,38
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4442,662,2220,245,777,39
129366435,stellargraph/stellargraph,https://api.github.com/repos/stellargraph/stellargraph,2274,342,2535,253,734,30
154232678,sql-machine-learning/elasticdl,https://api.github.com/repos/sql-machine-learning/elasticdl,650,111,1825,88,734,23
111340129,keras-team/autokeras,https://api.github.com/repos/keras-team/autokeras,8336,1349,1286,72,729,121
